Iegravecyr	uni0400
Gehookstrokecyr	uni04FA
gehookstrokecyr	uni04FB
Hahookcyr	uni04FC
hahookcyr	uni04FD
Hastrokecyr	uni04FE
hastrokecyr	uni04FF
Dekomicyr	uni0500
dekomicyr	uni0501
Djekomicyr	uni0502
djekomicyr	uni0503
Zjekomicyr	uni0504
zjekomicyr	uni0505
Dzjekomicyr	uni0506
dzjekomicyr	uni0507
Ljekomicyr	uni0508
ljekomicyr	uni0509
Njekomicyr	uni050A
njekomicyr	uni050B
Sjekomicyr	uni050C
sjekomicyr	uni050D
Tjekomicyr	uni050E
tjekomicyr	uni050F
Reversedzecyr	uni0510
reversedzecyr	uni0511
Elhookcyr	uni0512
elhookcyr	uni0513
Lhacyr	uni0514
lhacyr	uni0515
Rhacyr	uni0516
rhacyr	uni0517
Yaecyr	uni0518
yaecyr	uni0519
Qacyr	uni051A
qacyr	uni051B
Wecyr	uni051C
wecyr	uni051D
Kaaleutcyr	uni051E
kaaleutcyr	uni051F
Elmiddlehookcyr	uni0520
elmiddlehookcyr	uni0521
Enmiddlehookcyr	uni0522
enmiddlehookcyr	uni0523
Petailcyr	uni0524
petailcyr	uni0525
Shhatailcyr	uni0526
shhatailcyr	uni0527
Enhookleftcyr	uni0528
enhookleftcyr	uni0529
Dzzhecyr	uni052A
dzzhecyr	uni052B
Dchecyr	uni052C
dchecyr	uni052D
Eltailcyr	uni052E
eltailcyr	uni052F
uni1C80	uni1C80
uni1C81	uni1C81
uni1C82	uni1C82
uni1C83	uni1C83
uni1C84	uni1C84
uni1C85	uni1C85
uni1C86	uni1C86
uni1C87	uni1C87
uni1C88	uni1C88
uni1C89	uni1C89
uni1C8A	uni1C8A
Elsmallcyr	uni1D2B
uni1D2C	uni1D2C
ENcyrmod	uni1D78
uni2DE0	uni2DE0
uni2DE1	uni2DE1
uni2DE2	uni2DE2
uni2DE3	uni2DE3
uni2DE4	uni2DE4
uni2DE5	uni2DE5
uni2DE6	uni2DE6
uni2DE7	uni2DE7
uni2DE8	uni2DE8
uni2DE9	uni2DE9
uni2DEA	uni2DEA
uni2DEB	uni2DEB
uni2DEC	uni2DEC
uni2DED	uni2DED
uni2DEE	uni2DEE
uni2DEF	uni2DEF
uni2DF0	uni2DF0
uni2DF1	uni2DF1
uni2DF2	uni2DF2
uni2DF3	uni2DF3
uni2DF4	uni2DF4
uni2DF5	uni2DF5
uni2DF6	uni2DF6
uni2DF7	uni2DF7
uni2DF8	uni2DF8
uni2DF9	uni2DF9
uni2DFA	uni2DFA
uni2DFB	uni2DFB
uni2DFC	uni2DFC
uni2DFD	uni2DFD
uni2DFE	uni2DFE
uni2DFF	uni2DFF
Zemlya-cy	uniA640
zemlya-cy	uniA641
Dzelo-cy	uniA642
dzelo-cy	uniA643
DzeReversed-cy	uniA644
dzeReversed-cy	uniA645
Iota-cy	uniA646
iota-cy	uniA647
Djerv-cy	uniA648
djerv-cy	uniA649
UkMonograph-cy	uniA64A
ukMonograph-cy	uniA64B
OmegaBroad-cy	uniA64C
omegaBroad-cy	uniA64D
YerNeutral-cy	uniA64E
yerNeutral-cy	uniA64F
YeruBackYer-cy	uniA650
yeruBackyer-cy	uniA651
YatIotified-cy	uniA652
yatIotified-cy	uniA653
YuReversed-cy	uniA654
yuReversed-cy	uniA655
IotifiedA-cy	uniA656
iotifieda-cy	uniA657
YusClosedlittle-cy	uniA658
yusClosedlittle-cy	uniA659
YusBlended-cy	uniA65A
yusBlended-cy	uniA65B
YusiotifiedClosedLittle-cy	uniA65C
yusiotifiedClosedLittle-cy	uniA65D
Yn-cy	uniA65E
yn-cy	uniA65F
TseReversed-cy	uniA660
tseReversed-cy	uniA661
DeSoft-cy	uniA662
deSoft-cy	uniA663
ElSoft-cy	uniA664
elSoft-cy	uniA665
EmSoft-cy	uniA666
emSoft-cy	uniA667
OMonocular-cy	uniA668
oMonocular-cy	uniA669
OBinocular-cy	uniA66A
oBinocular-cy	uniA66B
ODoubleMonocular-cy	uniA66C
oDoubleMonocular-cy	uniA66D
omultiocular-cy	uniA66E
